id,target
1,0
2,1
3,1
4,0
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,1
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,0
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,0
142,1
143,0
144,1
145,1
146,0
147,1
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,1
160,0
161,1
162,1
163,0
164,1
165,0
166,1
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,1
175,0
176,1
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,1
189,0
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,1
