id,text,target,target_name
204,"
 Can You report CRT and other register state in this mode ?
 Thank's.",1,comp.graphics
11075,"Just to remark that I have heard that David Koresh has risen from 
the dead.  I dont know if it is true or not, but this is what I have
been told.  What do you guys think?",19,talk.religion.misc
8950,"I've spent the past week tearing my hair out, trying to get the output of
a piped ""tail -f"" to end up in a widget.  I've managed to make it work in
some ugly ways, but either a) X blocks on the tail and won't allow user
input, b) the ""tail -f"" functions like just ""tail"" and doesn't follow the
expansion of the file, c) the ""tail -f"" doesn't die after I've closed
the pipe and destoryed the widget, or d) pclose() blocks forever waiting
for tail to die.
	I _know_ this code has to exist.  Anybody have it?  A general
popen() case would be perfered but at this point I'll take anything...
Thanks.",5,comp.windows.x
4515,"I've had a Valentine for about 9 months now and I agree that it is the best det
ector available. The point here is trust and reliability. I've been able to ""tr
ust"" the Valentine more than any other detector I've owend. If the Valentine sa
ys that there is a moderate to strong radar source in front of me, then it's mo
re than likely to be a speed trap. With my other detectors, I've gotten so many
 falses that I've begun to ignore someo of the warnings because I didn't want t
o drive like I had one foot on the brake and one on the gas pedal.

That directional indicator really, really helps. Plus, more info is almost alwa
ys better than less info. No matter how smart radar detectors get, the human br
ain is usually smarter. So, if I'm going to make a decisio based on information
 at hand, I want all the info I can get. Plus, if you divide the overall streng
th of the radar signal by the number of bogeys reported, you'll find that each
bogey is pretty weak and therefore not a radar threat. With other detectors, yo
u'll just get one strong warning. My logic may be faulty on this, but I think i
t works okay.

Although, I must admit that I haven't really noticed the reflection problem of
one radar souce.",7,rec.autos
18179,"
   >  This is actually the law that David Irving
   > will hopefully be found guilty under due to his denial of the Holocaust.
   > It's too bad that this useless ""Centre for Policy Research"" isn't in Canada.
   > It'd set a nice precedent to how the law applies in Cyberspace.
   > 
   >   Steve

	   Well canada is wrong. If it was in the US the ACLU would have
   made sure that such repressive laws are found unconstitutional.
   Do you think the Church didn't find Galileo's perception of the
   universe offensive.


Bull shit. There is no reason in the world why we can't say that
taking views analogous to the KKK's or some such organization is
wrong. There is no reason why some morality may not be legislated. As
it is we do not allow theft, or murder, or rape. Why should we allow
hateful sppech whose only purpose is to stir anger and violence.",17,talk.politics.mideast
13266,"I am looking for a shareware graphics package called NeoPaint v1.1.  I 
saw it in a shareware catalog and was hoping that I could FTP it from 
the net but have been unable to locate it.  I have tried Archie and I 
have gone through the entire comp.graphics newsgroup looking for some 
reference to it and have found none.  I have  also looked through the 
FAQ and also no reference.  The program is called NeoPaint v1.1 and if 
anyone has heard of it or knows where I can get it I would appreciate 
it.

Suggestions for other PC based shareware paint programs would also be 
appreciated. Email me your responses.",1,comp.graphics
11839,"Hi people..

OK heres my problem.... 
I keep hearing about these little credit card type of things which
detect IR light....

I believe that you have to 'charge them up' under normal (visible) light
and then if they are exposed to IR light they glow or something like
that...

I think that they are avaliable in the states and even in England, but
alas I live in Australia.  Could someone please inform me if I can get
these things over here, and if so where??? and how much???

Also are they really commonly avaliable in the states, and if so, then
how much are they and who sells them (maybe if I cant get one here, I'll
write to one of the companies over seas..)

Anyway.... Thanks in advance...",12,sci.electronics
4941,"Excuse me, but if you really new what the show was about, you'd know that he
doesn't just say vagina and penis and that is how he get's his ratings. He
also addresss real issues as well as being outrageous. I don't hear any of these
other idiots doing a funny show and getting into some serious topics at the
same time, he get's people to think and entertains them at the same time, 
so try listening to his show a little closer before you tell them that they are
WRONG, and by the way, if he is such a flash in the pan, why do his ratings sustain
so well? Hmm?




-- 
-----------------------------------------------
Greg W. Lazar             greg@puck.webo.dg.com

J-E-T-S JETS JETS JETS",16,talk.politics.guns
14770,"***** IBM GAMES FOR SALE OR TRADE *****

o ADVENTURE

  Eric the Unready -- Legend -- $35
  King's Quest V -- Sierra -- CD-ROM edition -- $35

o SPORTS

  Michael Jordan In Flight -- Electronic Arts -- $35
  Mike Ditka's Ultimate Football -- Accolade -- $30
  David Ledbetter's Greens -- Microprose -- $30

o STRATEGY

  Risk -- Virgin -- $10


This software comes with all original packaging and manuals.
Price includes ground shipping to continental US.

I will trade for current games; send me your list...

--",6,misc.forsale
8510,,17,talk.politics.mideast
14014,"








Yeah, of course... The term 'mach banding' was not the correct one, it should've
been 'color quantization effect'. Although a bad color quantization effect could
result in some visible mach-bands on a picture that was smooth before it was
quantizised.
",1,comp.graphics
14558,"

	Is there room for nudists? After all, if you believe most upstanding
moral churches, nudity IS a sin...



--------------------------------------------------------------------------------",0,alt.atheism
11492,"Due to some problems with my IDE drive, I LL formatted the Maxitor7213AT.
Now it started to give me some errors in some applications. I was told
Maxitor has a utility called IDE_INT in their BBS, anyone tried it? Can
some one tell me what that BBS number is? Or better, can I find the file
in some ftp site? Or perhaps someone can email it to me? Thanks.

Feng",3,comp.sys.ibm.pc.hardware
